Acad Group,Subject,Catalog,Course ID,Course Title,Course Description,Component,Equivalent Courses,Requirement Group Description,Typically Offer,Credits,Add Consent,Drop Consent,,,,,,,,,
CAST,AERO,101,115341,The Foundation of the United States Air Force I,"This course and its follow-on provide the student with an introductory survey of the United States Air Force (USAF) and the Air Force Reserve Officer Training Corps (AFROTC). In the first semester, the course begins with an introduction to ROTC as well as the customs and courtesies and dress and appearance standards expected of Air Force officers. It continues with a discussion on team building, military communication skills and interpersonal communications.  The organization of the Air Force and how the Air Force contributes to the accomplishment of our national security objectives is also covered. The course concludes with an overview of Air Force career opportunities and benefits. Leadership Laboratory is mandatory for AFROTC contract/pursuing cadets and complements this course by providing cadets with followership experiences.",LEC,,,FALL,1,,,,,,,,,,,
CAST,AERO,102,115346,Foundation of USAF II,"This course covers an introduction to Air Force core values and offers the student an opportunity to learn about leadership, its principles, and its effective traits.   The course demonstrates knowledge of Air Force heritage and legacy.  Students are also introduced to basic oral and written communication skills. The course continues by exploring war, its basic principles, and motivation.  The course concludes with an understanding of the Air Force oath of office and how human relations can affect them as an Air Force Officers.  Leadership Laboratory is mandatory for AFROTC contract/pursuing cadets and complements this course by providing cadets with followership experiences.",LEC,,,SPRING,1,,,,,,,,,,,
CAST,AERO,201,200599,History of Air Power I,"This course examines the development of military air and space power from the first balloons to the on-going conflicts in Afghanistan and other parts of the world, introduces fundamental principles associated with war in the third dimension, and employs historical examples to explain the evolution of U.S. Air Force air and space power.  The full course covers two academic terms.  This term focuses on examples from the earliest days of flight through the Cuban Missile Crisis.  This course also seeks to develop students’ communication skills through class participation, short writing and briefing assignments.  AFROTC Leadership Laboratory (WMIL-006) and AFROTC Physical Training (WMIL-001) complements this course by providing applied followership and leadership experience and is mandatory for all AFROTC cadets. Other interested undergraduate students (non-cadets) will be considered for registration but must have the Detachment Commander’s approval for this course and any required co-requisites (if desired).",LEC,,,FALL,1,,,,,,,,,,,
CAST,AERO,202,200600,History of Air Power II,"This course examines the development of military air and space power from the first balloons to the on-going conflicts in Afghanistan and other parts of the world, introduces fundamental principles associated with war in the third dimension, and employs historical examples to explain the evolution of U.S. Air Force air and space power.  The full course covers two academic terms.  This term focuses on examples from the Vietnam War to the “Global War on Terror.”  This course also seeks to develop students’ communication skills through class participation, short writing and briefing assignments AFROTC Leadership Laboratory (WMIL-006) and AFROTC Physical Training (WMIL-001) complements this course by providing applied followership and leadership experience and is mandatory for all AFROTC cadets. Other interested undergraduate students (non-cadets) will be considered for registration but must have the Detachment Commander’s approval for this course and any required co-requisites (if desired).",LEC,,,SPRING,1,,,,,,,,,,,
CAST,AERO,401,103301,National Security Forces I,"This course examines national security policy and process, regional issues, advanced leadership, air and space power functions and competencies.  It is the first in a two-course sequence during which you will study roles of the military in society; military justice and law; current issues affecting the military profession; and regional cultural, politics and history.  You will also study air and space power functions and competencies and the responsibilities of officership.   Finally, this course also seeks to develop students’ communication skills through class participation, short writing and briefing assignments.  AFROTC Leadership Laboratory (WMIL-006) and AFROTC Physical Training (WMIL-001) complements this course by providing applied followership and leadership experience and is mandatory for all AFROTC cadets. Other interested undergraduate students (non-cadets) will be considered for registration but must have the Detachment Commander’s approval for this course and any required co-requisites (if desired).",LEC,,,FALL,3,,,,,,,,,,,
CAST,AERO,402,109384,National Security Forces II,"This course examines national security policy and process, regional issues, advanced leadership, air and space power functions and competencies.  It is the second in a two-course sequence during which you will study roles of the military in society; military justice and law; current issues affecting the military profession; and regional cultural, politics and history.  You will also study air and space power functions and competencies and the responsibilities of officership.   Finally, this course also seeks to develop students’ communication skills through class participation, short writing and briefing assignments.  AFROTC Leadership Laboratory (WMIL-006) and AFROTC Physical Training (WMIL-001) complements this course by providing applied followership and leadership experience and is mandatory for all AFROTC cadets. Other interested undergraduate students (non-cadets) will be considered for registration but must have the Detachment Commander’s approval for this course and any required co-requisites (if desired).",LEC,,,SPRING,3,,,,,,,,,,,
CAST,ARMY,101,115337,Introduction to Leadership,"This course introduces you to the personal challenges and competencies that are critical for effective leadership and the structure of the ROTC Basic courses which consist of ARMY 101, 102, 201, 202, Fall and Spring Leadership Labs, and LTC.  You will learn how the personal development of life skills such as cultural understanding, goal setting, time management, mental/physical resiliency, and stress management relate to leadership, officership, and the Army profession. The focus is on developing basic knowledge and comprehension of Army leadership dimensions, attributes and core leader competencies while gaining an understanding of the ROTC program, its purpose in the Army, and its advantages for the student. Enrollment must be approved by the Professor of Military Science. Students enrolled in Army ROTC must register for Army Conditioning Drills (Physical Training) and Army Leadership Lab when registering for the ARMY-101 class.",LEC,,,FALL,2,,,,,,,,,,,
CAST,ARMY,102,115336,Introduction to Tactical Leadership,"This course covers the overview of leadership fundamentals such as setting direction, problem-solving, listening, presenting briefs, providing feedback, and using effective writing skills.  You will explore dimensions of leadership attributes and core leader competencies in the context of practical, hands-on, and interactive exercises. Enrollment must be approved by Professor of Military Science. Students enrolled in Army ROTC must register for Army Conditioning Drills (Physical Training) and Army Leadership Lab when you take the ARMY-102 class.",LEC,,,SPRING,2,,,,,,,,,,,
CAST,ARMY,201,115343,Innovative Team Leadership,"This course explores the dimensions of creative and innovative tactical leadership strategies and styles by examining team dynamics and two historical leadership theories that form the basis of the Army leadership framework.  Aspects of personal motivation and team building are practiced planning, executing and assessing team exercises.    The focus continues to build on developing knowledge of the leadership attributes and core leader competencies through the understanding of Army rank, structure, and duties as well as broadening knowledge of land navigation and squad tactics.  Case studies will provide a tangible context for learning the Soldier's Creed and Warrior Ethos.  Enrollment must be approved by the Professor of Military Science.  Students enrolled in Army ROTC must register for Army Conditioning Drills (PT) and Army Leadership Lab when they enroll in ARMY-201.",LEC,,,FALL,2,,,,,,,,,,,
CAST,ARMY,202,115338,Foundations of Tactical Leadership,"This course examines the challenges of leading teams in the complex operational environment.  The course highlights dimensions of terrain analysis, patrolling, and operation orders.  Further study of the theoretical basis of the Army Leadership Requirements Model explores the dynamics of adaptive leadership in the context of military operations. ARMY-202 prepares Cadets for ROTC 301.  Cadets develop greater self awareness as they assess their own leadership styles and practice communication and team building skills.  Case studies give insight into the importance and practice of teamwork and tactics in real-world scenarios.  Enrollment must be approved by the Professor of Military Science.  Students enrolled in Army ROTC must register for Army Conditioning Drills (PT) and Army Leadership Lab when they enroll in ARMY-202.",LEC,,,SPRING,2,,,,,,,,,,,
